,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
153,"Wells, Tyler",BAL,R,96.1,,50,,96,,66.4
154,"Machado, Andrés",WSH,R,96,94.2,,,88.2,37.8,
155,"Beede, Tyler",PIT,R,96,96.3,,,91.5,23.4,90.8
156,"De Los Santos, Enyel",CLE,R,96,,,,99.7,17,
157,"Guerra, Javy",TB,R,96,96.4,,,,30.9,
158,"Hendriks, Liam",CWS,R,95.9,,,,,23.6,66.5
159,"Wilson, Steven",SD,R,95.9,,,,99.1,41.7,
160,"Chafin, Andrew",DET,L,95.8,95,,,,18.5,
161,"Fernández, Junior",PIT,R,95.8,95.6,,,95.4,25.1,
162,"Krehbiel, Joey",BAL,R,95.8,,42.3,,94.7,67.2,
163,"Acevedo, Domingo",OAK,R,95.8,96,,,96,66.2,
164,"Gray, Jon",TEX,R,95.8,,,,99.1,30.8,79.9
165,"Gore, MacKenzie",SD,L,95.7,,,,92.9,35.1,62.1
166,"Leiter Jr., Mark",CHC,R,95.7,90.9,51.7,90.1,,49,94.4
167,"Lauer, Eric",MIL,L,95.7,,60.4,,97.6,37.4,56.5
168,"Peralta, Wily",DET,R,95.7,97.3,,94.5,,15.7,
169,"Nelson, Nick",PHI,R,95.6,,,,97.4,29.9,46.7
170,"Severino, Anderson",CWS,L,95.6,,,,89.9,33.4,59.3
171,"Devenski, Chris",PHI,R,95.6,,,,90.8,30.2,
172,"Gilbert, Logan",SEA,R,95.5,98.2,,,99.4,39.2,
173,"Javier, Cristian",HOU,R,95.4,,,,82.9,43,
174,"Arihara, Kohei",TEX,R,95.4,95,66.3,85,92,27.7,
175,"Sawamura, Hirokazu",BOS,R,95.4,,,71.5,,24.2,
176,"Díaz, Edwin",NYM,R,95.3,,,,,23.2,
177,"Hughes, Brandon",CHC,L,95.3,95.3,,,,20.8,
178,"Howard, Spencer",TEX,R,95.3,,28.9,,99.6,,99
179,"Grove, Michael",LAD,R,95.3,,,,,32,77.1
180,"Smith, Will",HOU,L,95.2,94.3,,,,18.8,59.6
181,"Lugo, Seth",NYM,R,95.2,93.6,,,95.9,42.5,80.2
182,"Bañuelos, Manny",PIT,L,95.2,92,,,97.1,29.5,38.1
183,"Pilkington, Konnor",CLE,L,95.2,,,,97.7,21.2,82
184,"Cortes, Nestor",NYY,L,95.1,90.3,48.4,,95.7,,
185,"Sulser, Cole",MIA,R,95.1,,,,86.2,29.6,
186,"Kremer, Dean",BAL,R,95.1,94.1,46,,89.5,,81.8
187,"Alvarez, Jose",SF,L,95.1,95.7,,,93.3,26.4,
188,"Clevinger, Mike",SD,R,95.1,93.9,39.5,,98.7,53.1,76.1
189,"López, Reynaldo",CWS,R,95,,,,93.4,44.3,63.2
190,"Smeltzer, Devin",MIN,L,95,93.2,46,,89.3,,69
191,"Mize, Casey",DET,R,95,,,94,,26.4,
192,"Waldichuk, Ken",OAK,L,95,,,,99.1,,82.5
193,"Rodón, Carlos",SF,L,95,,,,97.9,29.3,69.1
194,"Hill, Tim",SD,L,94.9,91.8,75.1,,,44.2,
195,"Adon, Joan",WSH,R,94.9,93.7,,,89.7,,67.5
196,"Anderson, Chase",CIN,R,94.9,95.9,70.5,,99.5,38.1,91.8
197,"Thornburg, Tyler",MIN,R,94.9,,,,98.5,44.3,92.2
198,"Bradley, Archie",LAA,R,94.9,95.1,,,98.1,,
199,"Tapia, Domingo",OAK,R,94.7,93.1,,,99.5,30.2,
200,"Reid-Foley, Sean",NYM,R,94.7,,,,63.7,36.3,
201,"Beeks, Jalen",TB,L,94.7,,41.9,,87.7,22,
202,"Falter, Bailey",PHI,L,94.6,94,,,95.8,53.9,66.6
203,"Sanchez, Aaron",MIN,R,94.6,92.6,,,97,,71.1
204,"Davidson, Tucker",LAA,L,94.6,96.3,,,98.2,35.9,68.9
205,"Gaddis, Hunter",CLE,R,94.5,,,,99.3,48.7,79.4
206,"Alexander, Jason",MIL,R,94.5,91.7,,,97.6,48.2,
207,"Bush, Matt",MIL,R,94.4,,52.2,,,,66.9
208,"Rodriguez, Elvin",DET,R,94.4,,,,95.5,23.4,52.2
209,"Hembree, Heath",LAD,R,94.3,,,,,31.2,66
210,"Kahnle, Tommy",LAD,R,94.3,,,,97.1,,
211,"Peralta, Wandy",NYY,L,94.3,93.8,,,84.2,24.3,
212,"Bubic, Kris",KC,L,94.2,,,,98.8,,73.1
213,"Stripling, Ross",TOR,R,94.2,91.7,,,91.6,42.2,
214,"Cueto, Johnny",CWS,R,94.2,94.8,58,,83.7,31.6,16.1
215,"Smith, Joe",MIN,R,94.2,96,,,,51.6,
216,"Márquez, Germán",COL,R,94.1,91.8,,,92.1,23.2,
217,"Brown, Hunter",HOU,R,94,,,,,49.8,
218,"Strider, Spencer",ATL,R,93.9,,,,91.1,34,
219,"Liberatore, Matthew",STL,L,93.9,90.2,,,99.3,27.3,95.6
220,"Cleavinger, Garrett",TB,L,93.9,91.3,,,,48.9,80.9
221,"Hearn, Taylor",TEX,L,93.9,92.2,48.7,,87.5,20,
222,"Alcantara, Sandy",MIA,R,93.9,93.4,,,90.2,17.2,29.5
223,"Yates, Kirby",ATL,R,93.8,,,96.3,,,
224,"Santana, Dennis",TEX,R,93.8,91.5,,,95.2,18.1,
225,"May, Dustin",LAD,R,93.8,92.1,34.2,,91.6,,66.1
226,"Reyes, Denyi",BAL,R,93.8,,,,98.2,35.5,61.7
227,"Price, David",LAD,L,93.8,94.4,58.8,,98.7,,
228,"Dunn, Justin",CIN,R,93.7,,,,87,39.8,57
229,"Waites, Cole",SF,R,93.7,,,,,37.2,
230,"Varland, Louie",MIN,R,93.7,,47.1,,95.5,41.3,
231,"Foley, Jason",DET,R,93.7,94.5,,,99.4,27.3,
232,"Suarez, Robert",SD,R,93.6,94.9,65.3,,97.4,,62.3
233,"Swarmer, Matt",CHC,R,93.6,,,,89.6,28.2,
234,"Staumont, Josh",KC,R,93.6,90.4,,,,,80.7
235,"Garrett, Amir",KC,L,93.4,95.4,,,,30.7,
236,"Santillan, Tony",CIN,R,93.4,,,,,35.6,
237,"Herget, Kevin",TB,R,93.4,,21.4,,98,,
238,"Hernández, Carlos",KC,R,93.3,,,91.6,,20.7,
239,"Ruiz, José",CWS,R,93.3,,,,92,,47.1
240,"Puk, A.J.",OAK,L,93.3,92.5,,,,14.4,
241,"Houser, Adrian",MIL,R,93.3,91.6,,,94.1,32.6,94.8
242,"Soto, Gregory",DET,L,93.3,94.1,,,97.5,40.8,
243,"Mayers, Mike",LAA,R,93.3,,41.8,,95.3,21.2,71.5
244,"Scherzer, Max",NYM,R,93.2,,43.4,,98.8,20.3,77.2
245,"deGrom, Jacob",NYM,R,93.2,,,,94.1,33.8,49.6
246,"Sims, Lucas",CIN,R,93.2,,,,,38.1,69.1
247,"Overton, Connor",CIN,R,93.1,90.7,,,96.6,17,
248,"Patton, Spencer",TEX,R,93.1,,,97.1,,44.5,
249,"Contreras, Roansy",PIT,R,93.1,,,,98.9,29.2,77.8
250,"Snead, Kirby",OAK,L,93.1,95.7,,,96.5,40.8,
251,"Severino, Luis",NYY,R,93.1,95.2,42.3,,98.1,59.1,
