"","player_name","pitch_type","meanxrelease","meanyrelease","meanspinrate","meanvelocity"
"27","Barlow, Scott","FF",-1.95586805555556,5.16309027777778,2394.09375,93.5875
"28","Barnes, Jacob","FC",-1.96758169934641,5.67202614379085,2323.45098039216,88.9607843137255
"29","Barnes, Jacob","FF",-1.88462427745665,5.7685549132948,2405.64739884393,95.2028901734104
"30","Barnes, Matt","FF",-1.65682389937107,6.12814465408805,2249.33018867925,94.9792452830189
"31","Barría, Jaime","FF",-1.76216101694915,6.5539406779661,2273.16101694915,92.0080508474576
"32","Barría, Jaime","SI",-1.73532019704434,6.53950738916256,2148.15270935961,91.7527093596059
"33","Bass, Anthony","SI",-1.42324414715719,5.86153846153846,1990.25752508361,95.3749163879599
"34","Bassitt, Chris","FC",-1.21744466800805,5.57551307847083,2262,89.0344064386318
"35","Bassitt, Chris","FF",-1.26696569920844,5.5188654353562,2191.03166226913,93.2255936675462
"36","Bassitt, Chris","SI",-1.19787564766839,5.56911917098446,2117.62176165803,92.7761658031088
"37","Baumann, Mike","FF",-1.71707581227437,6.42039711191336,2195.76173285199,95.7823104693141
"38","Bautista, Félix","FF",-0.527651888341544,7.03832512315271,2340.74384236453,99.1559934318555
"39","Baz, Shane","FF",-1.54331460674157,5.88370786516854,2429.39325842697,95.9831460674157
"40","Beasley, Jeremy","FF",-1.79632530120482,5.86969879518072,2440.23493975904,95.3993975903614
"41","Bednar, David","FF",-2.20984444444444,5.88195555555556,2297.78,96.4231111111111
"42","Beede, Tyler","FF",-2.05086614173228,5.42708661417323,2080.92519685039,95.7606299212598
"43","Beede, Tyler","SI",-1.64459677419355,5.35633064516129,2126.86290322581,95.6237903225806
"44","Bellatti, Andrew","FF",-1.64146529562982,5.47632390745501,2436.47300771208,94.3516709511568
"45","Bello, Brayan","FF",-1.91440860215054,5.52263440860215,2202.16129032258,96.958064516129
"46","Bello, Brayan","SI",-2.09452991452991,5.32806267806268,2122.41025641026,96.3219373219373
"47","Bender, Anthony","SI",-1.242125,5.8834375,2230.95625,97.641875
"48","Berríos, José","FF",-2.76629287598945,5.45503957783641,2241.25197889182,93.9877308707124
"49","Berríos, José","SI",-2.79267425320057,5.47631578947368,2114.87624466572,93.878093883357
"50","Bickford, Phil","FF",-2.49945022288261,5.10421991084695,2360.83655274889,94.1212481426449
"51","Bieber, Shane","FC",-1.39377870563674,5.55789144050104,2493.7745302714,86.8801670146138
"52","Bieber, Shane","FF",-1.24302618816683,5.59984481086324,2205.45586808923,91.2793404461688
"53","Bird, Jake","FC",-2.50112299465241,5.33951871657754,2354.08556149733,91.3582887700535
"54","Bird, Jake","SI",-2.57582750582751,5.24137529137529,1951.29603729604,95.0158508158508
"55","Blackburn, Paul","FC",-1.76565597667638,5.98049562682216,2484.16618075802,87.1416909620991
"56","Blackburn, Paul","FF",-1.74318181818182,5.96555555555556,2134.95454545455,91.539393939394
"57","Blackburn, Paul","SI",-1.74621890547264,5.9381592039801,2000.84245439469,91.7157545605307
"58","Bolaños, Ronald","SI",-1.96477477477477,6.18432432432432,2199.95495495496,93.1054054054054
